record_id,crm_cd,other_crm_cds,mocodes
259,230,,0444 0411 0429 0913 0400 0416 2000 1814
260,354,,1822
261,354,,0100
262,624,,1218 2004 1202 0416 0429 1822
263,354,,0100 1822 0917 0929 0930 0928
264,354,,1202
265,812,860,0602 1251 1258 0913 0500 0522 0551 0360 0400 2021
266,210,,0344 1300 0342 0302 0390 0400 1822 1240 1309 0216
267,354,,1822 0930
268,480,,0344
269,121,,0913 2002 0531 0444 0416 0510 0419 0516 0527
270,354,,0923 0100 1822
271,813,,2024 0500 1822 1251 0940 1259
272,820,820,1258 0913 0556 0522 0400 0500
273,354,,0930 1822
274,354,,1822 0100
275,956,,1501 1822
276,354,,0377 1822
277,354,,0100 0344 0922 0923 0924 0925 0929 0930 1822
278,649,,0923
279,812,860,1251 1258 1203 0913 0500 0522 0551
280,354,,1822
281,354,,0100
282,121,,1821 1241 0913 2000 0527 2034 0512
283,930,,0421
284,354,,0100
285,354,,0100 1822
286,956,,2000 1814 1906
287,121,812,0558 0913 1258 0527
288,815,998,1402 0554 1258 0515 0913 1817 2024
289,810,,0533 1814 0522 0527 1259 0913
290,121,,1262 0913 1206 0500 0527
291,331,,0344 1822 1202 0385
292,626,,2000 0400 1813 0552
293,354,,0927 1822 1414
294,820,820,1258 0554 0913 1817 0421 2024 0507
295,820,820,1258 1251 0913 0555 0512 0550 0510
296,354,,0377 1822 1501 0930 0928 0929
297,860,,0500 0522 1822 0400
298,956,,1906
299,740,,0329 1300
300,354,,0377
301,354,,0929 1822
302,815,,2000 0913 0515
303,354,,1822 0100
304,940,,2000 0337
305,946,,0602 0913 0400
307,625,,0444 0416 0356
308,354,,0800 0100 0930
309,310,,1822 0344
310,310,,0344 1601
311,354,,0377
312,341,,0601 1822
313,354,,1822 0922 0929 0930
314,331,,1822 0344 1300
315,354,,0929 1822 0930
316,624,,0913 1259
317,354,,0930
318,354,,0100
320,341,,1822 0344 0601
321,815,815,1258 0522 0515 0913 1817 1801
322,956,,0342 0913 1236 1906 1913
323,820,820,0913 0360 0507 1257
324,662,,0800 0701 0344 1822
325,812,860,1258 0522 0400
326,668,,1803 0344 0913
327,330,,1822 1300 1307 0344
328,845,,1501
329,236,,2000 0400 0416 0444
330,354,,0100 0930 0922 1822 0917
331,354,,1822
332,354,,0344
333,354,,1822 0922 0929 0930
334,354,,1822
335,956,,1906 0913
336,812,860,0913 0360 0400 0551 1259
337,626,,1813 2000 0416 0419
338,331,,0385 0344 1822 1608 1300
339,354,,0929 0922 0917
340,354,,1822 0928 0377
341,354,,1822
342,354,,0928 0922 0930
343,354,,0922 1822
344,121,,2000 0913 0527 1813 1243 2002 0400
345,354,,1822 0930 0922
346,745,,0329 1202 0361 0913 0603
347,813,,1259 0913 0500
348,812,860,1258 0448 0510 0522 0503 0509 0432
349,956,,0913 1817 1906 1912
350,354,,0100
351,330,,1822 1300 0344 0352 1601
352,626,,0913 1814 0416
353,354,,1822
354,354,,1822 0100 0930
355,352,,0344
356,815,815,1258 0913 0515
357,812,860,0522 1259 0602 0913 0554
358,330,,1822 1606 0344
359,354,,0927 0928 0929 1822
360,354,,1822 0100
361,354,,0377 1822
362,354,,0930
364,354,,1822 0935
365,354,,0100 1822
366,354,,0100 1822
367,341,,0344
368,354,,1202 0100 0928 1822
369,354,,0928 1822
370,626,,0400 0416 0417 1813 2000 0419 0429
371,354,,0100 1251 1259 1822
372,845,,0913
373,940,,1202 0337
374,354,,0100 1822
375,860,,0522 1259
376,354,,1822 0930
377,886,,1501
378,121,812,1251 1258 0913 0556 0500 0526
379,820,820,0512 1259 0500 1820 0448 0531 0507
380,354,,1822
382,930,,0443
383,330,,0344
384,354,,0100 0928
385,354,,1822 0929
386,354,,0100 0928
387,354,,1822 0100
388,310,,0344 1607
389,666,,1822 0800
390,956,,1906
391,662,,0701
392,668,,1202 0377
393,921,,0400 0432 0443 0913 0943
394,354,,1822 0935
395,930,,0421 2000 0930
396,956,,1822 1906 1501
397,121,,2000 1814 0913 0500 0527
398,310,,1822 0329
399,354,,0377 0930 1822
400,626,,2000 0416 1814 1810
401,930,,0319 2021 0913 0603 0361 0443
402,354,,1822
403,354,,1822
405,820,820,0522 0510 1258 2021 0913 1817
406,354,,1822 0928
407,440,,0344 1822
408,330,,1822 0344 1601 1609 0329 1307
409,354,,0929 0923 0930
410,845,,1501
411,354,,0100 1202 0922 0929 0930 1822 0344
412,354,,1822 1501
413,354,,0100
414,354,,0100 0922 0929 0930 1822
415,236,,0913 1813 0416 1300 1310 0421 2000 2004 0408
417,354,,1822 0922
418,354,,1822
419,331,,0344 0385 1606 1822
420,354,,1822 0917
421,354,,0100 0929
422,354,,1822
423,341,,0344 1822
424,813,,0913 1817 1258 0522
425,354,,1822 1100 0930
426,354,,0100 1822
427,442,,1822 0344 1300
428,740,,0329 0913 2021
429,354,,0929
430,310,,1606 0344 0330 2004 1402 1420 0321
432,932,,0913 0513
433,352,,0344
435,341,,1822 0344
436,624,,0416 0429 0913 0603 0917
437,354,,0377
438,810,,0533 0522 0540 1259 1251 0913
439,354,,0377 0922 0929 0930 0935
440,624,,1822 0400 0416 1259
441,354,,0377
442,845,,1501
443,354,,1822 0100
444,354,,0930 0100 1822 0928
445,354,,1822 0100
446,354,,1822 1202
447,354,,0100 0930 0922
448,440,,0344
449,354,,0377
450,480,,1822 1602 0397 0344
451,354,,0100 0922 1822
452,354,,0100 0928 0929 0930 1822
454,341,,1822 0701 1202 0100 1916 1908 1914 1702
456,354,,1822 0922
457,354,,0100 0930 0928
458,354,,1822 0930
459,900,,2038 0913 1814 2000
460,649,,1803 0924
461,331,,0329 0344 1300
462,354,,0935 0929 0922
463,440,,0344
465,354,,1822
466,354,,1822 0100
467,354,,0100 0928 0929 1822
468,354,,0928 1822
469,930,,0913 0342 0903 2054 1536 0443 2021 0319
472,820,,1501
473,668,,0344 1803
474,354,,1202 0100
475,354,,0100 1822 0349 0924
476,121,,1814 1817 1206 1262 0527 0913 2000
477,354,,1822 0928
478,354,,0100
479,341,,0344
480,354,,0100 1822 0922
481,812,,0913 1258 0522
482,946,,0913 1501
483,956,,1906 0531
484,649,,0601 1822 0923
485,354,,0377
487,956,,0913 1906
488,662,,0701 0913 2021 1501
489,815,,0522 0515 0913
490,354,,1822 0922
491,354,,0930 0928
492,440,,0344
493,745,,1300 0329 1822 0344
496,354,,1822 1501
497,354,,0923 0926 0928 0929
498,810,,0527 1259 0940 0533 0913
499,627,,1258 0552 0416
500,354,,0100 1822 0928
501,354,,0100
502,354,,1822 0100
504,310,,1610 1822 0321 0344
505,761,,0913 0353 0334
506,745,,0329
509,354,,1822 0928
510,649,,0701 0800 2021 0316 1202 1817 0344
511,121,,1206 0942 0537 0913 1259 1824 1262 2034 2024 0527
512,354,,1822
513,354,,0377
514,354,,0100
516,354,,1501
517,354,,0100 1822
519,354,,0100 1822 0930 0929 0922
520,354,,0928 1822 0377
521,956,,1906
522,121,812,0913 1259 0360 0510 0522 0537 0536 0507 0527 0432
523,341,,0344
524,354,,1822 0935 1202
525,662,,0701 0800 2021
526,354,,0928 0929 0930
527,354,,1822 0929
529,354,,1822
530,354,,1822 0100 0922 0930
531,354,,0929 1822
532,903,,2038
534,745,,0329 1300
535,812,860,0913 1817 0510 0522 2033 2024 0400 1258
536,626,,0913 0444 2000 0416 1813
537,236,,0334 0411 0445 0449 0913 1241 1821 2000
538,352,,1822 0344
539,354,,0100 1822
540,354,,1822 0100 0928
542,310,,0358 0344 1822
543,354,,1822
544,310,,0321 0344 0358 1607 1822
545,956,,0514 0940 1251 1258
546,354,,0100 1822 0929 0922 0930
547,354,,1822 0100
548,354,,0100
549,236,,2000 0408 1259
550,354,,1501
551,354,,0917 0929 0930 0923
552,354,,0377
553,354,,0377
554,354,,0100 0928
555,812,860,0522
556,354,,0928
557,330,,1300 1309 0329 0344 1607
558,354,,0100
559,956,,1912
560,668,998,1300 0601 1402
561,627,,0913 0416 1258 0553
562,624,,0400 0342 0444
563,310,,0344 1822 9999
564,354,,1202 0100 1822 0930
565,354,,1501
566,121,,0913 1802 1206 0532 0510 0519 0507 0527 1402
567,354,,0100 0930 1822
568,341,998,0344 1402
569,354,,0928
570,354,,0100 0928
571,354,,0100
572,354,,0930 0922
573,354,,1822
575,354,,1822 0929
576,900,,0913 2000
577,354,,1822 0100
578,626,,0400 2000 1243
579,886,,1501
580,354,,0930 1822
581,901,,2038 1501
582,813,,0913 1251 1258 0510
583,956,,1906
584,354,,1822 0377
585,354,,0100
586,845,,1501 2021
587,930,,1822 0443 0432
588,354,,1202 1822
589,354,,0922 0929 0930 1822
590,354,,0928
592,236,,0913 1813 2000 0408 0401
593,354,,1822 0917 0929 0930 0923
594,815,,0913 1814 0515
596,354,,0930 1822
598,310,,0344
599,626,,2000 0400 0416 0444
600,354,,1822 0930 0929
601,354,,0377
602,121,,0527
604,626,,0416 0447 0913 1243 1813 2000
605,440,,1218 1822 2032 0344
606,627,,1258 0416 0417 0429 0552
607,740,,1822 0329
608,310,,0344 0346 1822 0358
609,341,,0344
610,354,,0930 0928 1822
611,354,,0377 1822 0929 0930
612,354,,1822 0922 0929 0925 0930 0928
613,354,,0100 0926
614,354,,1822 0928
615,813,,0913 1817 1251 1258 0510 0522
618,310,,1601 2004 0344
619,354,,1822 0100 0930 0929
620,956,,1906 0514
621,354,,0930 0377
622,662,,0913
623,845,,1822 1501 2021
624,354,,0377 1822
625,354,,0100 0930 0929 0922
626,354,,0100 0928
627,810,,0527 2024 1814 0533 0913 1258
628,354,,1822
630,439,,1501
633,442,,1822 0344
634,354,,1822
635,354,,1822 0100 0344 0929 0930 0928
636,354,,1822 0917
637,121,,1268 0361 0400 0500 1202 2033 0913 2021
638,815,815,0500 0913 1801 1258 0522 0515 0551
639,860,,1258 0522 0500 0360 0602 0913
640,624,,0400 0416
641,901,,2038 2000
642,354,,0100 0930 1822
643,121,,1206 0408 0513 0913 0448 0527 0444 2002 2000 1814
644,354,,0100 1822
646,354,,1822
